模型,厂商,输入(￥/M),输出(￥/M),缓存读取(￥/M)
claude-3-haiku,Anthropic,1.75,8.75,0.21
claude-3-opus,Anthropic,105,525,10.5
claude-3.5-haiku,Anthropic,5.6,28,0.56
claude-3.5-sonnet,Anthropic,21,105,2.1
claude-3.7-sonnet,Anthropic,21,105,2.1
claude-fable-5,Anthropic,70,350,7
claude-fable-5.1,Anthropic,70,350,1.75
claude-haiku-4-5,Anthropic,7,35,0.7
claude-mythos-5,Anthropic,70,350,7
claude-opus-4,Anthropic,105,525,10.5
claude-opus-4-1,Anthropic,105,525,10.5
claude-opus-4-5,Anthropic,35,175,3.5
claude-opus-4-6,Anthropic,35,175,3.5
claude-opus-4-7,Anthropic,35,175,3.5
claude-opus-4-8,Anthropic,35,175,3.5
claude-opus-4-8-fast,Anthropic,70,350,7
claude-opus-5,Anthropic,35,175,3.5
claude-opus-5-fast,Anthropic,70,350,7
claude-sonnet-4,Anthropic,21,105,2.1
claude-sonnet-4-5,Anthropic,21,105,2.1
claude-sonnet-4-6,Anthropic,21,105,2.1
claude-sonnet-5,Anthropic,14,70,1.4
codex-mini-latest,OpenAI,10.5,42,2.625
gpt-3.5-turbo,OpenAI,3.5,10.5,
gpt-4,OpenAI,210,420,
gpt-4-turbo,OpenAI,70,210,
gpt-4.1,OpenAI,14,56,3.5
gpt-4.1-mini,OpenAI,2.8,11.2,0.7
gpt-4.1-nano,OpenAI,0.7,2.8,0.175
gpt-4o,OpenAI,17.5,70,8.75
gpt-4o-mini,OpenAI,1.05,4.2,0.525
gpt-5,OpenAI,8.75,70,0.875
gpt-5-codex,OpenAI,8.75,70,0.875
gpt-5-mini,OpenAI,1.75,14,0.175
gpt-5-nano,OpenAI,0.35,2.8,0.035
gpt-5.1,OpenAI,8.75,70,0.875
gpt-5.1-codex,OpenAI,8.75,70,0.875
gpt-5.1-codex-max,OpenAI,8.75,70,0.875
gpt-5.1-codex-mini,OpenAI,1.75,14,0.175
gpt-5.2,OpenAI,12.25,98,1.225
gpt-5.2-codex,OpenAI,12.25,98,1.225
gpt-5.3-codex,OpenAI,12.25,98,1.225
gpt-5.4,OpenAI,17.5,105,1.75
gpt-5.4-codex,OpenAI,17.5,105,1.75
gpt-5.4-mini,OpenAI,5.25,31.5,0.525
gpt-5.4-nano,OpenAI,1.4,8.75,0.14
gpt-5.4-pro,OpenAI,210,1260,
gpt-5.5,OpenAI,35,210,3.5
gpt-5.5-codex,OpenAI,17.5,105,1.75
gpt-5.5-fast,OpenAI,87.5,525,8.75
gpt-5.5-flex,OpenAI,17.5,105,1.75
gpt-5.5-pro,OpenAI,210,1260,
gpt-5.6-cyber,OpenAI,87.5,525,8.75
gpt-5.6-luna,OpenAI,1.4,8.4,0.14
gpt-5.6-luna-batch,OpenAI,0.7,4.2,0.07
gpt-5.6-luna-fast,OpenAI,2.8,16.8,0.28
gpt-5.6-luna-flex,OpenAI,0.7,4.2,0.07
gpt-5.6-sol,OpenAI,35,210,3.5
gpt-5.6-sol-batch,OpenAI,17.5,105,1.75
gpt-5.6-sol-fast,OpenAI,70,420,7
gpt-5.6-sol-flex,OpenAI,17.5,105,1.75
gpt-5.6-terra,OpenAI,14,84,1.4
gpt-5.6-terra-batch,OpenAI,8.75,52.5,0.875
gpt-5.6-terra-fast,OpenAI,35,210,3.5
gpt-5.6-terra-flex,OpenAI,8.75,52.5,0.875
gpt-6-astra,OpenAI,70,350,7
o1,OpenAI,105,420,52.5
o1-mini,OpenAI,7.7,30.8,3.85
o1-preview,OpenAI,105,420,52.5
o3,OpenAI,14,56,3.5
o3-mini,OpenAI,7.7,30.8,3.85
o3-pro,OpenAI,140,560,
o4-mini,OpenAI,7.7,30.8,1.925
gemini-1.5-flash,Google,0.525,2.1,0.0525
gemini-1.5-pro,Google,24.5,73.5,
